Datum;Arbeitszeit;Aufgabe
09.10.2014;01:40;Product backlog +Tasks + Userstories
16.10.2014;01:40;Product backlog +Tasks + Userstories
17.10.2014;00:50;Doku
17.10.2014;00:30;Doku
30.10.2014;01:40;Doku
05.11.2014;01:40;Wiki sql
06.11.2014;00:30;Wiki sql
06.11.2014;00:50;Wiki Gui
06.11.2014;00:50;Wiki Functions
12.11.2014;00:50;Feedback Gui
12.11.2014;00:30;Feedback Gui
12.11.2014;01:20;Wiki Functions
13.11.2014;01:50;Wiki Functions
;;
